ISBN - 13,Title of the Book,Author,Book Type,Original Price,Discounted Price,ISBN - 10,Published Date,Publisher,No of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,,$19.99,0007461240,2012-07-01,HarperCollins Publishers,224
9780307762528,book not found,,,,,,,,
9780743422277,Star Trek,Diane Duane,eBook,,$5.99,0743422279,2001-12-03,Pocket Books/Star Trek,256
9780241290002,Familiar Stranger,Stuart Hall,eBook,,$15.99,0241290007,2017-04-06,Penguin Books Ltd,256
9780061763403,book not found,,,,,,,,
9780463983096,Across the Seas,Griff Hosker,eBook,,$9.19,0463983092,2019-03-04,Griff Hosker,
9780241365984,American Royals,Katharine McGee,eBook,,$9.99,0241365988,2019-09-01,Penguin Random House Children's UK,368
9781322117171,book not found,,,,,,,,
9780141911717,Homage to Catalonia,George Orwell,eBook,,$15.99,0141911719,2003-06-05,Penguin Books Ltd,272
9780141930169,The Twits,"Roald Dahl, Quentin Blake (Illustrator)",eBook,,$9.99,0141930160,2007-09-06,Penguin Random House Children's UK,112
9781250316783,book not found,,,,,,,,
9780748115358,The Great Hunt,Robert Jordan,eBook,,$11.99,0748115358,2009-11-17,"Little, Brown Book Group",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,eBook,,$9.99,0141342439,2015-10-06,Penguin Random House Children's UK,528
9780141903125,Boy,"Roald Dahl, Quentin Blake (Illustrator)",eBook,,$9.99,0141903120,2008-09-04,Penguin Random House Children's UK,192
9780141928685,Angels,Marian Keyes,eBook,,$15.99,0141928689,2005-03-31,Penguin Books Ltd,496
9780755386390,The Lost (Paula Maguire 1),Claire McGowan,eBook,,$11.99,0755386396,2013-04-11,Headline,305
9780230739673,book not found,,,,,,,,
9781310517228,Anxiety,Joshua Fletcher,eBook,,$9.38,1310517223,2016-03-22,Joshua Fletcher,
9780698137653,George Washington's Secret Six,"Brian Kilmeade, Don Yaeger",eBook,$22.29,$17.99,0698137655,2013-11-05,Penguin Publishing Group,288
9780956308641,book not found,,,,,,,,
9781405921107,Jamie's Food Tube,Gennaro Contaldo,eBook,,$14.99,1405921102,2015-07-02,Penguin Books Ltd,128
9780575087057,The Name of the Wind,Patrick Rothfuss,eBook,,$12.99,0575087056,2010-04-22,Orion,672
9780440336358,Darkfever,Karen Marie Moning,eBook,$14.66,$11.99,044033635X,2006-10-31,Random House Publishing Group,
9780755332557,Kiss,Jill Mansell,Paperback,$26.99,$26.25,0755332555,2007-05-10,Headline,512
9780470901038,book not found,,,,,,,,
9780698185890,book not found,,,,,,,,
9780857202994,The Night Stalker,Chris Carter,eBook,,$12.99,0857202995,18th August 2011,Simon & Schuster UK,464
9780446539654,The Jury Master,Robert Dugoni,eBook,,$17.99,0446539651,2008-07-15,Grand Central Publishing,300
9781310869686,book not found,,,,,,,,
9780241242643,The Book of Why,"Judea Pearl, Dana Mackenzie",eBook,,$16.99,0241242649,2018-05-15,Penguin Books Ltd,400
9780748109265,Blow Fly,Patricia Cornwell,eBook,,$11.99,0748109269,2008-09-04,"Little, Brown Book Group",544
9780241980750,The Sapphire Widow,Dinah Jefferies,eBook,,$15.99,0241980755,2018-04-05,Penguin Books Ltd,400
9780330469364,book not found,,,,,,,,
9780241379011,Couples That Work,Jennifer Petriglieri,eBook,,$18.99,0241379016,2019-10-10,Penguin Books Ltd,304
9780575088436,Time of Contempt,"Andrzej Sapkowski, David French",eBook,,$12.99,0575088435,2013-06-24,Orion,320
9781405927697,Typhoon Fury,"Clive Cussler, Boyd Morrison",eBook,,$15.99,1405927690,2017-11-16,Penguin Books Ltd,480
9780755350841,The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,,$12.99,0755350847,2008-09-04,Headline,448
9781101117996,The Divine Comedy,"Dante Alighieri, John Ciardi",eBook,$25.70,$20.99,1101117990,2003-05-27,Penguin Publishing Group,928
9781101209356,A Maiden's Grave,Jeffery Deaver,eBook,$14.66,$11.99,1101209356,2000-01-01,Penguin Publishing Group,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,eBook,,$11.99,0755373979,2012-01-05,Headline,451
9780755380558,The Snow Child,Eowyn Ivey,eBook,,$12.99,075538055X,2012-02-01,Headline,318
9780439023481,The Hunger Games (USA Edition),Suzanne Collins,Hardcover,,$41.90,0439023483,2008-10-01,Scholastic US,384
9781250232984,Made Things,Adrian Tchaikovsky,eBook,$6.22,$5.99,1250232988,2019-11-05,Tor Publishing Group,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,eBook,,$12.99,0141926902,2008-05-01,Penguin Random House Children's UK,288
9780571333141,Conversations with Friends,Sally Rooney,eBook,$16.49,$14.99,0571333141,2017-05-25,Faber & Faber,272
9781407035536,Strata,Terry Pratchett,eBook,,$14.99,1407035533,2009-11-24,Transworld,288
9780141966151,Misbehaving,Richard H. Thaler,eBook,,$16.99,0141966157,2015-05-07,Penguin Books Ltd,256
9780230225916,book not found,,,,,,,,
9780804141116,book not found,,,,,,,,
9780141929385,My East End,Gilda O'Neill,eBook,,$15.99,0141929383,2000-09-28,Penguin Books Ltd,384
